iter	Passed	Remaining
529	6223	5519
530	6233	5505
531	6244	5493
532	6253	5479
533	6263	5465
534	6277	5455
535	6286	5441
536	6295	5427
537	6306	5415
538	6316	5402
539	6326	5389
540	6337	5376
541	6348	5364
542	6358	5351
543	6370	5339
544	6380	5327
545	6392	5315
546	6402	5302
547	6413	5290
548	6425	5278
549	6434	5264
550	6445	5252
551	6456	5239
552	6466	5226
553	6477	5214
554	6488	5202
555	6498	5189
556	6507	5176
557	6517	5162
558	6530	5151
559	6540	5138
560	6550	5125
561	6561	5113
562	6570	5100
563	6579	5086
564	6588	5072
565	6600	5061
566	6613	5050
567	6623	5037
568	6632	5024
569	6642	5010
570	6651	4997
571	6661	4984
572	6672	4972
573	6683	4959
574	6694	4948
575	6705	4936
576	6715	4922
577	6726	4910
578	6736	4897
579	6745	4884
580	6758	4874
581	6770	4862
582	6781	4850
583	6792	4838
584	6803	4826
585	6817	4816
586	6828	4804
587	6839	4792
588	6850	4780
589	6864	4770
590	6875	4758
591	6889	4747
592	6906	4740
593	6921	4731
594	6936	4721
595	6948	4709
596	6960	4698
597	6974	4688
598	6987	4677
599	7002	4668
600	7017	4658
601	7030	4648
602	7042	4636
603	7052	4624
604	7067	4614
605	7079	4602
606	7093	4592
607	7109	4583
608	7120	4571
609	7134	4561
610	7146	4549
611	7160	4539
612	7171	4527
613	7184	4516
614	7196	4505
615	7208	4493
616	7221	4482
617	7232	4470
618	7242	4457
619	7254	4446
620	7265	4434
621	7275	4421
622	7285	4408
623	7297	4397
624	7307	4384
625	7320	4373
626	7332	4361
627	7343	4349
628	7355	4338
629	7370	4328
630	7383	4317
631	7393	4305
632	7403	4292
633	7414	4280
634	7427	4269
635	7437	4256
636	7448	4244
637	7458	4232
638	7470	4220
639	7482	4208
640	7494	4197
641	7506	4186
642	7518	4174
643	7529	4162
644	7539	4149
645	7551	4137
646	7563	4126
647	7579	4117
648	7591	4105
649	7605	4095
650	7619	4084
651	7632	4073
652	7646	4063
653	7658	4051
654	7668	4039
655	7681	4028
656	7692	4016
657	7702	4003
658	7713	3991
659	7724	3979
660	7735	3967
661	7746	3955
662	7755	3942
663	7767	3930
664	7783	3920
665	7798	3910
666	7812	3900
667	7828	3891
668	7846	3882
669	7861	3872
670	7875	3861
671	7891	3852
672	7905	3840
673	7919	3830
674	7933	3819
675	7947	3809
676	7961	3798
677	7978	3788
678	7989	3777
679	8004	3766
680	8016	3755
681	8027	3743
682	8043	3733
683	8053	3720
684	8064	3708
685	8078	3697
686	8089	3685
687	8099	3673
688	8113	3662
689	8128	3651
690	8142	3641
691	8154	3629
692	8166	3617
693	8180	3606
694	8191	3594
695	8202	3582
696	8215	3571
697	8228	3560
698	8239	3548
699	8253	3537
700	8265	3525
701	8278	3514
702	8288	3501
703	8299	3489
704	8309	3477
705	8318	3464
706	8327	3451
707	8337	3438
708	8348	3426
709	8357	3413
710	8367	3401
711	8376	3388
712	8385	3375
713	8395	3362
714	8405	3350
715	8415	3338
716	8425	3325
717	8435	3313
718	8445	3300
719	8455	3288
720	8464	3275
721	8474	3263
722	8484	3250
723	8494	3238
724	8505	3226
725	8517	3214
726	8527	3202
727	8536	3189
728	8544	3176
729	8555	3164
730	8566	3152
731	8579	3140
732	8588	3128
733	8597	3115
734	8610	3104
735	8623	3093
736	8634	3081
737	8653	3072
738	8664	3060
739	8681	3050
740	8693	3038
741	8707	3027
742	8721	3016
743	8736	3005
744	8751	2995
745	8762	2983
746	8772	2971
747	8784	2959
748	8794	2947
749	8807	2935
750	8820	2924
751	8831	2912
752	8845	2901
753	8857	2889
754	8869	2878
755	8881	2866
756	8895	2855
757	8909	2844
758	8919	2832
759	8929	2819
760	8947	2809
761	8958	2798
762	8969	2785
763	8979	2773
764	8990	2761
765	9002	2750
766	9012	2737
767	9022	2725
768	9032	2713
769	9043	2701
770	9052	2688
771	9062	2676
772	9071	2664
773	9081	2651
774	9091	2639
775	9101	2627
776	9112	2615
777	9122	2602
778	9130	2590
779	9139	2577
780	9154	2566
781	9170	2556
782	9184	2545
783	9196	2533
784	9207	2521
785	9220	2510
786	9232	2498
787	9245	2487
788	9256	2475
789	9267	2463
790	9280	2452
791	9294	2440
792	9305	2429
793	9317	2417
794	9328	2405
795	9339	2393
796	9351	2381
797	9363	2370
798	9373	2358
799	9385	2346
800	9397	2334
801	9410	2323
802	9420	2311
803	9430	2299
804	9442	2287
805	9455	2275
806	9466	2264
807	9476	2251
808	9487	2240
809	9498	2228
810	9507	2215
811	9517	2203
812	9526	2191
813	9537	2179
814	9546	2166
815	9557	2155
816	9566	2142
817	9575	2130
818	9586	2118
819	9597	2106
820	9608	2094
821	9618	2082
822	9628	2070
823	9637	2058
824	9646	2046
825	9656	2034
826	9665	2021
827	9674	2009
828	9683	1997
829	9694	1985
830	9703	1973
831	9713	1961
832	9723	1949
833	9734	1937
834	9744	1925
835	9753	1913
836	9763	1901
837	9773	1889
838	9783	1877
839	9793	1865
840	9803	1853
841	9814	1841
842	9823	1829
843	9832	1817
844	9842	1805
845	9852	1793
846	9861	1781
847	9871	1769
848	9880	1757
849	9889	1745
850	9898	1733
851	9907	1721
852	9917	1709
853	9927	1697
854	9936	1685
855	9945	1673
856	9955	1661
857	9964	1649
858	9974	1637
859	9984	1625
860	9994	1613
861	10004	1601
862	10014	1589
863	10024	1578
864	10034	1566
865	10044	1554
866	10055	1542
867	10064	1530
868	10073	1518
869	10083	1506
870	10094	1495
871	10104	1483
872	10113	1471
873	10123	1459
874	10132	1447
875	10142	1435
876	10150	1423
877	10160	1411
878	10170	1400
879	10180	1388
880	10188	1376
881	10198	1364
882	10208	1352
883	10217	1340
884	10226	1328
885	10236	1317
886	10246	1305
887	10255	1293
888	10264	1281
889	10273	1269
890	10285	1258
891	10295	1246
892	10306	1234
893	10316	1223
894	10325	1211
895	10336	1199
896	10347	1188
897	10357	1176
898	10368	1164
899	10378	1153
900	10388	1141
901	10397	1129
902	10406	1117
903	10415	1106
904	10425	1094
905	10435	1082
906	10444	1070
907	10454	1059
908	10464	1047
909	10475	1036
910	10484	1024
911	10494	1012
912	10505	1001
913	10516	989
914	10525	977
915	10535	966
916	10546	954
917	10556	942
918	10567	931
919	10577	919
920	10586	908
921	10597	896
922	10608	885
923	10618	873
924	10628	861
925	10637	850
926	10648	838
927	10658	826
928	10667	815
929	10677	803
930	10686	792
931	10696	780
932	10706	768
933	10715	757
934	10724	745
935	10733	733
936	10744	722
937	10754	710
938	10763	699
939	10773	687
940	10783	676
941	10793	664
942	10804	653
943	10815	641
944	10825	630
945	10834	618
946	10845	607
947	10855	595
948	10864	583
949	10873	572
950	10884	560
951	10894	549
952	10904	537
953	10913	526
954	10922	514
955	10932	503
956	10943	491
957	10953	480
958	10963	468
959	10972	457
960	10982	445
961	10991	434
962	11000	422
963	11011	411
964	11021	399
965	11031	388
966	11041	376
967	11051	365
968	11063	353
969	11073	342
970	11086	331
971	11096	319
972	11105	308
973	11115	296
974	11126	285
975	11137	273
976	11147	262
977	11158	251
978	11168	239
979	11179	228
980	11189	216
981	11199	205
982	11209	193
983	11219	182
984	11228	170
985	11238	159
986	11247	148
987	11255	136
988	11266	125
989	11276	113
990	11285	102
991	11296	91
992	11305	79
993	11314	68
994	11324	56
995	11334	45
996	11343	34
997	11352	22
998	11362	11
999	11371	0
