iter	Logloss
125	0.4436928543
126	0.4435200237
127	0.4434025498
128	0.4433101092
129	0.4432288986
130	0.4431314918
131	0.4430475349
132	0.4429604265
133	0.442876185
134	0.4427935603
135	0.4426870244
136	0.4425870864
137	0.4424753812
138	0.4423836016
139	0.4423123692
140	0.4422206909
141	0.4421161172
142	0.4420341127
143	0.4419186566
144	0.4418473901
145	0.44173402
146	0.441645396
147	0.4415564602
148	0.4414549147
149	0.4413683375
150	0.4412932434
151	0.4411819146
152	0.4410964485
153	0.4409955429
154	0.4409269945
155	0.440834383
156	0.4407486584
157	0.4406629835
158	0.4405914285
159	0.4405213824
160	0.4404286538
161	0.440329003
162	0.4402145833
163	0.4401173904
164	0.4400115033
165	0.4399447386
166	0.4398639246
167	0.4397755214
168	0.4396887707
169	0.4396016603
170	0.4394997983
171	0.4394417179
172	0.4393678382
173	0.4392815859
174	0.4391917542
175	0.4390301916
176	0.4389531638
177	0.4388570028
178	0.4387846554
179	0.4386958389
180	0.4386246627
181	0.4385483139
182	0.4384523954
183	0.4383640126
184	0.4382963096
185	0.4382200844
186	0.4381352397
187	0.4380645208
188	0.4380184872
189	0.437939245
190	0.4378661407
191	0.4377861417
192	0.4376930492
193	0.4376070972
194	0.4375471995
195	0.4374882798
196	0.4374123086
197	0.4373090023
198	0.4372348423
199	0.4371404654
200	0.4370785792
201	0.4370008574
202	0.4369008082
203	0.436830673
204	0.4367535823
205	0.4366645596
206	0.4365893997
207	0.4365227548
208	0.4364671668
209	0.4364115322
210	0.4362960742
211	0.4362236864
212	0.4361671103
213	0.4360881469
214	0.4360128915
215	0.4359424843
216	0.4358404045
217	0.4357561737
218	0.4356924632
219	0.4356168349
220	0.4355461048
221	0.4354826998
222	0.4354006409
223	0.4353247297
224	0.4352427615
225	0.4351889622
226	0.435137327
227	0.435080384
228	0.4350183147
229	0.4349494815
230	0.4348988718
231	0.4348254777
232	0.4347594319
233	0.4347019239
234	0.4346323145
235	0.4345519047
236	0.4344812881
237	0.4344119844
238	0.434346999
239	0.4342795571
240	0.4342151847
241	0.4341390847
242	0.4340658502
243	0.4339846063
244	0.4339139879
245	0.4338154514
246	0.4337542929
247	0.4336703158
248	0.4336159043
249	0.4335644922
250	0.4335071375
251	0.4334404619
252	0.4333934951
253	0.4333309631
254	0.433262516
255	0.4331972229
256	0.4331305214
257	0.4330708662
258	0.4330087637
259	0.4329484126
260	0.4328878593
261	0.4328341459
262	0.4327578524
263	0.4326810755
264	0.4325995643
265	0.4325345872
266	0.432468633
267	0.4324031332
268	0.4323417136
269	0.4323014116
270	0.4322550269
271	0.4321743397
272	0.4321237343
273	0.4320540554
274	0.4320030682
275	0.4319395807
276	0.4318598071
277	0.4318029473
278	0.4317371312
279	0.4316822607
280	0.4316781423
281	0.4316264406
282	0.4315530613
283	0.4315079879
284	0.4314437553
285	0.4313708303
286	0.4313212878
287	0.431277328
288	0.4312231304
289	0.4311562403
290	0.4311063511
291	0.4310466436
292	0.4309773582
293	0.4309134749
294	0.4308412222
295	0.4307872992
296	0.4307152936
297	0.4306536006
298	0.4306491273
299	0.4305876432
300	0.4305337343
301	0.4304804373
302	0.4304362681
303	0.4303825785
304	0.4303627319
305	0.4303043594
306	0.4302452367
307	0.4301813579
308	0.4301219038
309	0.4300634548
310	0.4299890468
311	0.4299428429
312	0.4298959203
313	0.4298301104
314	0.4297751171
315	0.4297319792
316	0.4296672408
317	0.4296040001
318	0.4295516222
319	0.4295014
320	0.4294648987
321	0.4294149973
322	0.4293686265
323	0.4293056473
324	0.4292482956
325	0.4292004859
326	0.4291327845
327	0.4290946532
328	0.4290275552
329	0.4289699363
330	0.4289246724
331	0.4288774253
332	0.4288522736
333	0.4287954969
334	0.4287259409
335	0.4286748256
336	0.4286060464
337	0.4285547743
338	0.4284880846
339	0.4284215963
340	0.4283637066
341	0.4283047152
342	0.4282587368
343	0.4282141701
344	0.4281500391
345	0.4281075731
346	0.4280568539
347	0.4279958278
348	0.4279323872
349	0.4278757043
350	0.4278205211
351	0.4277809344
352	0.4277274416
353	0.4276714559
354	0.4276131363
355	0.4275646264
356	0.4275273247
357	0.4274909951
358	0.4274557955
359	0.4273915369
360	0.4273386401
361	0.4273039521
362	0.4272629874
363	0.4272070655
364	0.4271598983
365	0.4271125526
366	0.427063188
367	0.4270248807
368	0.4269909284
369	0.4269235692
370	0.4268643986
371	0.42680835
372	0.4267474699
373	0.4267005573
374	0.4266984938
375	0.426647682
376	0.4265906158
377	0.4265522221
378	0.4264961407
379	0.4264315119
380	0.4263921661
381	0.4263500643
382	0.4262960059
383	0.4262412988
384	0.4261728495
385	0.4261031543
386	0.4260504415
387	0.4260017828
388	0.4259387035
389	0.4258852959
390	0.4258290126
391	0.4257886346
392	0.4257440852
393	0.4257074458
394	0.4256464659
395	0.4255982988
396	0.4255617764
397	0.4255133163
398	0.4254609852
399	0.4254130604
400	0.425353241
401	0.4252728365
402	0.4252143086
403	0.4251621201
404	0.4251123069
405	0.4250622127
406	0.4250216972
407	0.4249844467
408	0.4249599012
409	0.4249107496
410	0.4248478614
411	0.4247976217
412	0.4247521883
413	0.4247187328
414	0.4246680272
415	0.4246420359
416	0.4246062673
417	0.4245429554
418	0.424503683
419	0.4244581634
420	0.4244333395
421	0.4243794832
422	0.4243387416
423	0.4242780926
424	0.4242519405
425	0.4241827611
426	0.4241293357
427	0.4240790981
428	0.4240353592
429	0.4239880589
430	0.4239377627
431	0.4238766756
432	0.4238259864
433	0.4237556165
434	0.4236913204
435	0.4236357712
436	0.4235777986
437	0.4235218635
438	0.4234689701
439	0.423411727
440	0.4233685903
441	0.4233405524
442	0.4232871982
443	0.4232412291
444	0.4231781456
445	0.4231096047
446	0.4230650736
447	0.4230110644
448	0.4229690497
449	0.4229112943
450	0.4228715799
451	0.422813832
452	0.4227622469
453	0.422721682
454	0.4226805049
455	0.4226531545
456	0.4226167565
457	0.4225991375
458	0.4225492942
459	0.4224839085
460	0.4224146448
461	0.4223525145
462	0.4223178675
463	0.4222767684
464	0.4222362855
465	0.4222131121
466	0.4221665797
467	0.4221318523
468	0.4221300832
469	0.4220688802
470	0.422023972
471	0.4219824062
472	0.4219228202
473	0.4218677088
474	0.4218251
475	0.4217801751
476	0.4217429024
477	0.4217066021
478	0.4216538082
479	0.4216149244
480	0.421588152
481	0.4215477984
482	0.421496716
483	0.4214610962
484	0.4214269477
485	0.4214004978
486	0.4213566854
487	0.421314647
488	0.4212688309
489	0.4212309291
490	0.4211889885
491	0.4211498897
492	0.421097024
493	0.421043794
494	0.4210081403
495	0.4209572534
496	0.4209312294
497	0.4208806807
498	0.4208372063
499	0.4207944731
500	0.4207435824
501	0.4206819007
502	0.4206404286
503	0.4206184727
504	0.4205826394
505	0.4205403791
506	0.4205029989
507	0.4204564807
508	0.4204150731
509	0.4203686966
510	0.4203278661
511	0.4202761879
512	0.4202218685
513	0.4201754965
514	0.4201262568
515	0.4200744479
516	0.4200291027
517	0.4199911339
518	0.4199575556
519	0.4199006622
520	0.4198462174
521	0.4197992374
522	0.4197538684
523	0.4197007989
524	0.4196566681
525	0.4196221911
526	0.4195710569
527	0.4195184516
528	0.4194629877
529	0.4194140822
530	0.4193666764
531	0.4193090049
532	0.4192616303
533	0.4192238827
534	0.4191763241
535	0.4191296715
536	0.4190835378
537	0.4190304389
538	0.4189781239
539	0.4189648274
540	0.4189087927
541	0.4188569182
542	0.4188176131
543	0.4188007235
544	0.418758118
545	0.4187218956
546	0.4186449684
547	0.4186093699
548	0.4185656595
549	0.4185226531
550	0.4184849294
551	0.4184328104
552	0.4183801404
553	0.4183342104
554	0.4182849477
555	0.4182587726
556	0.4182026779
557	0.4181674296
558	0.4181198611
559	0.4180650473
560	0.4180330265
561	0.417972074
562	0.417910986
563	0.4179092748
564	0.4178613122
565	0.4178269513
566	0.4177766744
567	0.4177371405
568	0.4176748501
569	0.417627032
570	0.4175986792
571	0.4175553362
572	0.4175029776
573	0.4174664795
574	0.4174297366
575	0.417401279
576	0.4173619248
577	0.4173203102
578	0.4172748766
579	0.4172499835
580	0.4172161116
581	0.4171768046
582	0.4171540906
583	0.4171136654
584	0.4170819845
585	0.4170277135
586	0.4169819093
587	0.4169400543
588	0.4168970181
589	0.4168677184
590	0.4168071466
591	0.4167687885
592	0.4167185958
593	0.4166654182
594	0.4166188777
595	0.416579506
596	0.4165455373
597	0.4165041737
598	0.4164604863
599	0.4164207421
600	0.4163874661
601	0.4163284821
602	0.4162708175
603	0.4162285716
604	0.4161858303
605	0.416129853
606	0.4160790126
607	0.4160291227
608	0.4160279898
609	0.4159696805
610	0.4159308146
611	0.4158780555
612	0.4158388656
613	0.4157973108
614	0.4157521216
615	0.4157016151
616	0.4156555514
617	0.4156334072
618	0.4156117657
619	0.4155574494
620	0.4155173861
621	0.4154699623
622	0.4154653298
623	0.4154253476
624	0.4153741885
625	0.4153230789
626	0.4152790595
627	0.4152266279
628	0.4151812964
629	0.4151199188
630	0.4150638193
631	0.415022099
632	0.414989631
633	0.4149545574
634	0.4149241262
635	0.4148796951
636	0.4148259136
637	0.4147815601
638	0.4147477681
639	0.4146877316
640	0.4146471963
641	0.414595867
642	0.4145528858
643	0.4145177427
644	0.4144774662
645	0.4144403648
646	0.4144177277
647	0.4143971251
648	0.4143610025
649	0.4143172454
650	0.414272649
651	0.4142179679
652	0.4141763161
653	0.4141394149
654	0.4140743436
655	0.414024186
656	0.413998203
657	0.4139760008
658	0.4139471847
659	0.4139115939
660	0.4138790418
661	0.4138381834
662	0.4138363459
663	0.4137980752
664	0.4137709467
665	0.4137258648
666	0.4136757133
667	0.4136256436
668	0.4135721027
669	0.4135172903
670	0.4134748752
671	0.4134440575
672	0.4133872346
673	0.4133522064
674	0.4133196075
675	0.4132792782
676	0.4132299323
677	0.413186987
678	0.4131437749
679	0.413109034
680	0.413078889
681	0.413044152
682	0.4129853146
683	0.4129839426
684	0.4129536593
685	0.4129107682
686	0.412885216
687	0.4128843438
688	0.4128437464
689	0.4127794814
690	0.4127782598
691	0.4127392722
692	0.4127081636
693	0.4126750255
694	0.4126383316
695	0.4125954093
696	0.4125619791
697	0.4125176582
698	0.4124767789
699	0.4124275171
700	0.4123834507
701	0.4123368616
702	0.4122898773
703	0.4122438399
704	0.4122090552
705	0.4121644777
706	0.4121615482
707	0.4121223482
708	0.4120824422
709	0.4120327963
710	0.4119918738
711	0.411950987
712	0.4119098463
713	0.4118773119
714	0.4118348234
715	0.4117877874
716	0.4117364944
717	0.4116919013
718	0.4116475958
719	0.4116046111
720	0.411553884
721	0.4115133083
722	0.411473817
723	0.4114228679
724	0.4113771608
725	0.4113392048
726	0.4112921598
727	0.4112347656
728	0.4112339776
729	0.4111991279
730	0.4111497969
731	0.4110987586
732	0.4110687319
733	0.4110277488
734	0.4109794226
735	0.4109277225
736	0.4108761547
737	0.4108494091
738	0.4108113368
739	0.4107800868
740	0.410761392
741	0.4107037886
742	0.4106549327
743	0.4106017765
744	0.4105687748
745	0.4105200225
746	0.4104774813
747	0.4104503695
748	0.4103918398
749	0.4103599976
750	0.410324791
751	0.4102807021
752	0.4102436979
753	0.4102047277
754	0.4101719653
755	0.4101494449
756	0.4101053338
757	0.4100588789
758	0.4100085442
759	0.4099494965
760	0.4098929499
761	0.4098409758
762	0.4098056855
763	0.4097770947
764	0.4097210109
765	0.4096841668
766	0.409626784
767	0.4095845067
768	0.4095354781
769	0.4095069977
770	0.4094719807
771	0.4094391127
772	0.4094041045
773	0.4093652325
774	0.4093204036
775	0.4092765777
776	0.4092345395
777	0.4091849396
778	0.4091443571
779	0.4091064869
780	0.4090511954
781	0.4090149588
782	0.4089726218
783	0.4089312007
784	0.4088806536
785	0.4088412914
786	0.4088138782
787	0.4087652653
788	0.4087300157
789	0.4086890235
790	0.4086485111
791	0.4086102338
792	0.4085759999
793	0.4085445338
794	0.4085435559
795	0.4085053542
796	0.4084615759
797	0.4084282414
798	0.4083826926
799	0.4083346431
800	0.408290474
801	0.4082564265
802	0.4082287262
803	0.4081761819
804	0.4081226692
805	0.4080778865
806	0.4080377671
807	0.4079936412
808	0.4079481603
809	0.4078932861
810	0.4078503211
811	0.4077977892
812	0.4077608752
813	0.4077155196
814	0.4076747062
815	0.4076272562
816	0.4075870891
817	0.40754304
818	0.407493045
819	0.4074443625
820	0.4074039825
821	0.4073592054
822	0.4073147727
823	0.4072745024
824	0.4072423292
825	0.4072136224
826	0.4071776353
827	0.4071414652
828	0.4070934122
829	0.4070778146
830	0.4070625461
831	0.4070115354
832	0.4069699403
833	0.4069349871
834	0.406880784
835	0.406822078
836	0.4067877891
837	0.4067399491
838	0.4067027677
839	0.4066643063
840	0.4066151443
841	0.4065676729
842	0.4065297104
843	0.4064999417
844	0.4064451524
845	0.4064099263
846	0.4063799806
847	0.4063361905
848	0.4063024116
849	0.4062668759
850	0.4062239247
851	0.406196713
852	0.406148313
853	0.4061147711
854	0.4060753932
855	0.4060510703
856	0.4060137862
857	0.4059808673
858	0.4059443687
859	0.4058835404
860	0.4058413488
861	0.4057928694
862	0.4057525582
863	0.4057385435
864	0.4057077195
865	0.4056661778
866	0.405622822
867	0.4055952327
868	0.4055500091
869	0.4055084036
870	0.4054715461
871	0.4054446702
872	0.4054063386
873	0.4053609577
874	0.4053189546
875	0.4052854901
876	0.40524853
877	0.4052074535
878	0.4051670132
879	0.4051529059
880	0.405125449
881	0.4050764964
882	0.4050378953
883	0.4050087914
884	0.4049866687
885	0.4049494647
886	0.4049123738
887	0.4048662609
888	0.4048257234
889	0.4047917512
890	0.4047481882
891	0.4047166228
892	0.4046816942
893	0.4046454973
894	0.4046194748
895	0.4045853638
896	0.4045369481
897	0.4045018623
898	0.4044554956
899	0.4044277518
900	0.4043800008
901	0.404345258
902	0.4043240896
903	0.4043148961
904	0.4042743585
905	0.4042466766
906	0.4041957026
907	0.4041666727
908	0.4041293018
909	0.4040906216
910	0.4040446055
911	0.4039963736
912	0.4039497048
913	0.4039035742
914	0.4038747116
915	0.4038275608
916	0.403786454
917	0.4037527516
918	0.4037061062
919	0.4036618334
920	0.4036292561
921	0.4035853435
922	0.4035552068
923	0.4035296576
924	0.4034968119
925	0.4034573562
926	0.4034195778
927	0.4033698491
928	0.4033253099
929	0.4032889732
930	0.4032524137
931	0.4032202245
932	0.4031775251
933	0.4031401638
934	0.4031041739
935	0.4030616578
936	0.403023419
937	0.4029922808
938	0.4029478675
939	0.4029210373
940	0.4028775203
941	0.4028403478
942	0.4027984769
943	0.4027548425
944	0.402727518
945	0.4026763024
946	0.4026431443
947	0.4026153
948	0.4025818185
949	0.4025562798
950	0.4025293321
951	0.4024943475
952	0.4024512313
953	0.4024406556
954	0.4024040442
955	0.4023510579
956	0.4023091238
957	0.4022629751
958	0.4022201766
959	0.4021706273
960	0.4021195738
961	0.4020870504
962	0.4020633181
963	0.4020277087
964	0.4019948824
965	0.4019743952
966	0.4019447887
967	0.4019080111
968	0.4018887526
969	0.4018531009
970	0.4018144288
971	0.4017765333
972	0.4017413729
973	0.4017038276
974	0.4016632396
975	0.4016333189
976	0.4016061343
977	0.4015828682
978	0.4015468402
979	0.4015085388
980	0.401459482
981	0.4014162003
982	0.4013789117
983	0.4013286234
984	0.401289661
985	0.4012502206
986	0.4012450758
987	0.4012334627
988	0.401197529
989	0.4011569421
990	0.4011203495
991	0.4010801675
992	0.4010290417
993	0.4010000466
994	0.4009518258
995	0.4009234731
996	0.4008837064
997	0.4008461402
998	0.4008114991
999	0.4007743684
